epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.3821,0.59678,0.78287,1,0.48163,0.00331034,0.00331034,0.00331034
2,53.8795,0.3855,0.73307,1,0.4617,0.00657791,0.00657791,0.00657791
3,74.7235,0.33471,0.83466,1,0.45695,0.00977947,0.00977947,0.00977947
4,95.1467,0.31004,0.78486,1,0.51535,0.009703,0.009703,0.009703
5,116.073,0.27047,0.88645,1,0.26871,0.009604,0.009604,0.009604
6,136.971,0.27658,0.87849,1,0.24809,0.009505,0.009505,0.009505
7,157.781,0.24685,0.48606,1,1.74951,0.009406,0.009406,0.009406
8,178.536,0.24723,0.89044,1,0.24269,0.009307,0.009307,0.009307
9,199.536,0.22175,0.92231,1,0.1895,0.009208,0.009208,0.009208
10,219.853,0.19645,0.93625,1,0.17089,0.009109,0.009109,0.009109
11,240.192,0.19361,0.95418,1,0.10114,0.00901,0.00901,0.00901
12,261.199,0.18303,0.93825,1,0.18399,0.008911,0.008911,0.008911
13,283.017,0.16621,0.94821,1,0.1302,0.008812,0.008812,0.008812
14,304.004,0.1496,0.96215,1,0.11692,0.008713,0.008713,0.008713
15,324.778,0.14804,0.96414,1,0.08962,0.008614,0.008614,0.008614
16,345.506,0.13009,0.98008,1,0.0661,0.008515,0.008515,0.008515
17,365.88,0.13367,0.95418,1,0.09135,0.008416,0.008416,0.008416
18,386.54,0.13432,0.97211,1,0.08384,0.008317,0.008317,0.008317
19,407.457,0.11924,0.98207,1,0.0464,0.008218,0.008218,0.008218
20,428.729,0.11761,0.9741,1,0.07137,0.008119,0.008119,0.008119
21,449.764,0.12391,0.9761,1,0.06819,0.00802,0.00802,0.00802
22,470.753,0.12666,0.96813,1,0.08479,0.007921,0.007921,0.007921
23,490.965,0.12156,0.98008,1,0.06157,0.007822,0.007822,0.007822
24,510.933,0.10951,0.98008,1,0.06104,0.007723,0.007723,0.007723
25,531.916,0.11143,0.9761,1,0.07304,0.007624,0.007624,0.007624
26,553.114,0.11462,0.97809,1,0.06173,0.007525,0.007525,0.007525
27,574.646,0.09825,0.98207,1,0.057,0.007426,0.007426,0.007426
28,595.876,0.10012,0.96813,1,0.08857,0.007327,0.007327,0.007327
29,616.911,0.09909,0.98406,1,0.05677,0.007228,0.007228,0.007228
30,637.867,0.10491,0.98406,1,0.0494,0.007129,0.007129,0.007129
31,659.321,0.10585,0.98008,1,0.05673,0.00703,0.00703,0.00703
32,681.045,0.09673,0.98406,1,0.04184,0.006931,0.006931,0.006931
33,702.18,0.09541,0.98406,1,0.04857,0.006832,0.006832,0.006832
