epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,74.4689,0.51579,0.93988,1,0.19097,0.000546984,0.000546984,0.000546984
2,100.639,0.19736,0.8893,1,0.44247,0.00105899,0.00105899,0.00105899
3,110.342,0.14705,0.90469,1,0.29575,0.00152698,0.00152698,0.00152698
4,123.326,0.14505,0.89809,1,0.24511,0.00146896,0.00146896,0.00146896
5,135.798,0.12535,0.95015,1,0.14751,0.00140295,0.00140295,0.00140295
6,148.398,0.10244,0.97361,1,0.08808,0.00133693,0.00133693,0.00133693
7,161.011,0.10733,0.96481,1,0.09706,0.00127092,0.00127092,0.00127092
8,174.031,0.08703,0.97874,1,0.05566,0.00120491,0.00120491,0.00120491
9,187.119,0.09251,0.97141,1,0.08173,0.00113889,0.00113889,0.00113889
10,200.281,0.08929,0.97801,1,0.05878,0.00107288,0.00107288,0.00107288
11,212.366,0.07664,0.97507,1,0.07707,0.00100687,0.00100687,0.00100687
12,224.447,0.08904,0.97141,1,0.0856,0.000940855,0.000940855,0.000940855
13,236.78,0.08378,0.97874,1,0.052,0.000874842,0.000874842,0.000874842
14,248.57,0.07592,0.98534,1,0.03898,0.000808828,0.000808828,0.000808828
15,260.624,0.07342,0.9868,1,0.04765,0.000742815,0.000742815,0.000742815
16,283.539,0.07077,0.98387,1,0.04572,0.000676802,0.000676802,0.000676802
17,296.085,0.06835,0.96114,1,0.13087,0.000610789,0.000610789,0.000610789
18,309.152,0.06811,0.98534,1,0.04131,0.000544776,0.000544776,0.000544776
19,322.194,0.06214,0.97801,1,0.04536,0.000478762,0.000478762,0.000478762
20,335.483,0.05908,0.98754,1,0.03016,0.000412749,0.000412749,0.000412749
21,348.638,0.04617,0.9912,1,0.03278,0.000346736,0.000346736,0.000346736
22,361.96,0.05298,0.9912,1,0.02325,0.000280723,0.000280723,0.000280723
23,374.609,0.04787,0.9868,1,0.03136,0.00021471,0.00021471,0.00021471
24,387.184,0.05306,0.99267,1,0.02175,0.000148696,0.000148696,0.000148696
25,399.809,0.04835,0.99267,1,0.01927,8.26832e-05,8.26832e-05,8.26832e-05
