epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,333.732,0.33931,0.94904,1,0.10607,0.000552527,0.000552527,0.000552527
2,688.893,0.15112,0.97452,1,0.06755,0.00105334,0.00105334,0.00105334
3,1036.96,0.12588,0.99151,1,0.03361,0.00149914,0.00149914,0.00149914
4,1373.78,0.10094,0.99363,1,0.03418,0.00141945,0.00141945,0.00141945
5,1716.1,0.10612,0.99788,1,0.00989,0.00133693,0.00133693,0.00133693
6,2060.62,0.08753,0.98938,1,0.01844,0.00125442,0.00125442,0.00125442
7,2408.54,0.06066,0.99788,1,0.01268,0.0011719,0.0011719,0.0011719
8,2746.24,0.05641,0.99788,1,0.01038,0.00108938,0.00108938,0.00108938
9,3085.82,0.06277,0.99151,1,0.01804,0.00100687,0.00100687,0.00100687
10,3424.17,0.0554,0.99151,1,0.01902,0.000924352,0.000924352,0.000924352
11,3763.06,0.04513,0.99363,1,0.0123,0.000841835,0.000841835,0.000841835
12,4107.23,0.04065,0.99151,1,0.01026,0.000759318,0.000759318,0.000759318
13,4452.81,0.04261,0.99788,1,0.00805,0.000676802,0.000676802,0.000676802
14,8789.82,0.04321,0.99575,1,0.00923,0.000594286,0.000594286,0.000594286
15,9138.67,0.03464,0.99363,1,0.013,0.000511769,0.000511769,0.000511769
16,9476.28,0.03454,0.99363,1,0.01074,0.000429253,0.000429253,0.000429253
17,9817.59,0.03803,0.99575,1,0.01019,0.000346736,0.000346736,0.000346736
18,10155.9,0.03082,0.99151,1,0.01121,0.00026422,0.00026422,0.00026422
19,10514.6,0.02565,0.99363,1,0.01282,0.000181703,0.000181703,0.000181703
20,10860.9,0.02998,0.99363,1,0.01325,9.91865e-05,9.91865e-05,9.91865e-05
