epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,54.8704,0.33934,0.94843,1,0.15568,0.00332744,0.00332744,0.00332744
2,97.5713,0.18533,0.96209,1,0.10964,0.00661682,0.00661682,0.00661682
3,139.241,0.16093,0.96338,1,0.10655,0.00986219,0.00986219,0.00986219
4,180.565,0.14657,0.9706,1,0.08885,0.009802,0.009802,0.009802
5,221.783,0.13559,0.96931,1,0.09299,0.009736,0.009736,0.009736
6,263.254,0.12619,0.96957,1,0.09365,0.00967,0.00967,0.00967
7,305.382,0.12441,0.97499,1,0.07699,0.009604,0.009604,0.009604
8,347.482,0.12395,0.96674,1,0.09702,0.009538,0.009538,0.009538
9,389.786,0.11874,0.9706,1,0.08695,0.009472,0.009472,0.009472
10,432.213,0.11265,0.97292,1,0.08192,0.009406,0.009406,0.009406
11,474.435,0.11193,0.97292,1,0.07691,0.00934,0.00934,0.00934
12,517.048,0.10865,0.97421,1,0.07641,0.009274,0.009274,0.009274
13,559.33,0.11081,0.97318,1,0.07655,0.009208,0.009208,0.009208
14,601.474,0.11268,0.97163,1,0.08264,0.009142,0.009142,0.009142
15,643.602,0.10416,0.96906,1,0.08169,0.009076,0.009076,0.009076
16,685.865,0.10437,0.97241,1,0.07829,0.00901,0.00901,0.00901
17,727.788,0.10401,0.97447,1,0.07147,0.008944,0.008944,0.008944
18,769.388,0.10305,0.97731,1,0.06824,0.008878,0.008878,0.008878
19,810.86,0.09409,0.97653,1,0.0685,0.008812,0.008812,0.008812
20,851.765,0.10512,0.9786,1,0.06438,0.008746,0.008746,0.008746
21,893.118,0.09648,0.97731,1,0.06609,0.00868,0.00868,0.00868
22,933.638,0.09553,0.97447,1,0.06787,0.008614,0.008614,0.008614
23,975.951,0.09541,0.97757,1,0.06246,0.008548,0.008548,0.008548
24,1017.53,0.10397,0.97963,1,0.06344,0.008482,0.008482,0.008482
25,1058.25,0.09402,0.97782,1,0.06493,0.008416,0.008416,0.008416
26,1099.11,0.09375,0.97705,1,0.06635,0.00835,0.00835,0.00835
27,1139.99,0.09032,0.97757,1,0.06598,0.008284,0.008284,0.008284
28,1180.99,0.09348,0.9786,1,0.06369,0.008218,0.008218,0.008218
29,1222.03,0.09489,0.97911,1,0.06217,0.008152,0.008152,0.008152
30,1263.34,0.09721,0.97886,1,0.06274,0.008086,0.008086,0.008086
31,1304.69,0.08939,0.97782,1,0.06544,0.00802,0.00802,0.00802
32,1345.27,0.08856,0.9804,1,0.06011,0.007954,0.007954,0.007954
33,1386.73,0.08813,0.97782,1,0.06475,0.007888,0.007888,0.007888
34,1427.89,0.0945,0.97937,1,0.05976,0.007822,0.007822,0.007822
35,1468.02,0.08389,0.97705,1,0.06054,0.007756,0.007756,0.007756
