epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.5856,0.14453,0.93542,1,0.19592,0.0672946,0.000330357,0.000330357
2,25.2385,0.08623,0.95532,1,0.12252,0.0342881,0.00065712,0.00065712
3,33.134,0.07561,0.97652,1,0.06513,0.0012749,0.000977283,0.000977283
4,40.6359,0.07267,0.98043,1,0.06142,0.0009703,0.0009703,0.0009703
5,48.2284,0.06966,0.97847,1,0.05777,0.0009604,0.0009604,0.0009604
6,55.9427,0.06229,0.97717,1,0.06507,0.0009505,0.0009505,0.0009505
7,63.4618,0.06496,0.98206,1,0.04496,0.0009406,0.0009406,0.0009406
8,71.4805,0.06115,0.98174,1,0.04507,0.0009307,0.0009307,0.0009307
9,79.2605,0.05538,0.98402,1,0.04143,0.0009208,0.0009208,0.0009208
10,86.774,0.06462,0.98206,1,0.04462,0.0009109,0.0009109,0.0009109
11,94.5467,0.05634,0.98271,1,0.04804,0.000901,0.000901,0.000901
12,102.106,0.05497,0.98598,1,0.04132,0.0008911,0.0008911,0.0008911
13,109.836,0.05464,0.98043,1,0.04598,0.0008812,0.0008812,0.0008812
14,117.47,0.05205,0.98337,1,0.04376,0.0008713,0.0008713,0.0008713
15,125.052,0.05293,0.98369,1,0.04613,0.0008614,0.0008614,0.0008614
16,132.513,0.04686,0.98532,1,0.03883,0.0008515,0.0008515,0.0008515
17,140.077,0.05027,0.98337,1,0.05253,0.0008416,0.0008416,0.0008416
18,147.615,0.04887,0.98532,1,0.04331,0.0008317,0.0008317,0.0008317
19,155.307,0.0522,0.98663,1,0.04176,0.0008218,0.0008218,0.0008218
20,163.006,0.04262,0.98467,1,0.04476,0.0008119,0.0008119,0.0008119
21,170.743,0.04843,0.98402,1,0.04063,0.000802,0.000802,0.000802
22,178.446,0.04233,0.98402,1,0.04812,0.0007921,0.0007921,0.0007921
23,185.966,0.0434,0.98337,1,0.04166,0.0007822,0.0007822,0.0007822
24,193.505,0.04517,0.98369,1,0.0443,0.0007723,0.0007723,0.0007723
25,201.249,0.04772,0.98532,1,0.04176,0.0007624,0.0007624,0.0007624
26,208.933,0.04521,0.98206,1,0.04606,0.0007525,0.0007525,0.0007525
27,216.688,0.03841,0.98239,1,0.05213,0.0007426,0.0007426,0.0007426
28,224.415,0.03975,0.98467,1,0.03675,0.0007327,0.0007327,0.0007327
29,231.902,0.04404,0.98532,1,0.03824,0.0007228,0.0007228,0.0007228
30,239.488,0.04007,0.98467,1,0.0426,0.0007129,0.0007129,0.0007129
31,247.255,0.04354,0.98532,1,0.03556,0.000703,0.000703,0.000703
32,254.925,0.03879,0.9863,1,0.04064,0.0006931,0.0006931,0.0006931
33,262.792,0.04404,0.98598,1,0.03417,0.0006832,0.0006832,0.0006832
34,270.844,0.04299,0.98304,1,0.04481,0.0006733,0.0006733,0.0006733
35,278.412,0.03962,0.98434,1,0.03841,0.0006634,0.0006634,0.0006634
36,286.225,0.04306,0.98532,1,0.04111,0.0006535,0.0006535,0.0006535
37,293.779,0.03468,0.98761,1,0.03435,0.0006436,0.0006436,0.0006436
38,301.938,0.03878,0.98532,1,0.04421,0.0006337,0.0006337,0.0006337
39,309.544,0.0386,0.98598,1,0.03535,0.0006238,0.0006238,0.0006238
40,317.188,0.03256,0.985,1,0.04252,0.0006139,0.0006139,0.0006139
41,324.871,0.03557,0.98369,1,0.0463,0.000604,0.000604,0.000604
42,332.523,0.03877,0.98761,1,0.03687,0.0005941,0.0005941,0.0005941
43,340.053,0.03588,0.9863,1,0.03585,0.0005842,0.0005842,0.0005842
44,347.568,0.03491,0.98141,1,0.05033,0.0005743,0.0005743,0.0005743
45,355.07,0.03887,0.9863,1,0.03771,0.0005644,0.0005644,0.0005644
46,363.269,0.03824,0.98598,1,0.03925,0.0005545,0.0005545,0.0005545
47,371.354,0.02938,0.98369,1,0.05075,0.0005446,0.0005446,0.0005446
48,379.13,0.03238,0.98663,1,0.04136,0.0005347,0.0005347,0.0005347
49,386.838,0.03503,0.98695,1,0.03529,0.0005248,0.0005248,0.0005248
50,394.36,0.03045,0.985,1,0.04242,0.0005149,0.0005149,0.0005149
51,401.809,0.03707,0.9863,1,0.03891,0.000505,0.000505,0.000505
52,409.502,0.03039,0.98532,1,0.03777,0.0004951,0.0004951,0.0004951
53,417.357,0.03326,0.98728,1,0.0352,0.0004852,0.0004852,0.0004852
54,424.922,0.0288,0.98695,1,0.03527,0.0004753,0.0004753,0.0004753
55,432.482,0.02582,0.9863,1,0.04003,0.0004654,0.0004654,0.0004654
56,440.076,0.02912,0.98598,1,0.03911,0.0004555,0.0004555,0.0004555
57,447.651,0.03035,0.98663,1,0.03636,0.0004456,0.0004456,0.0004456
58,455.631,0.0288,0.98761,1,0.03626,0.0004357,0.0004357,0.0004357
59,463.616,0.02259,0.98761,1,0.03986,0.0004258,0.0004258,0.0004258
60,471.196,0.02433,0.99119,1,0.03224,0.0004159,0.0004159,0.0004159
61,478.827,0.02335,0.98891,1,0.03699,0.000406,0.000406,0.000406
62,486.474,0.02266,0.98728,1,0.03816,0.0003961,0.0003961,0.0003961
63,494.179,0.02457,0.98695,1,0.03882,0.0003862,0.0003862,0.0003862
64,501.79,0.02419,0.98663,1,0.04329,0.0003763,0.0003763,0.0003763
65,509.392,0.02299,0.98891,1,0.03838,0.0003664,0.0003664,0.0003664
66,516.997,0.02262,0.98761,1,0.04124,0.0003565,0.0003565,0.0003565
67,524.735,0.02332,0.98858,1,0.04078,0.0003466,0.0003466,0.0003466
68,532.527,0.0258,0.98989,1,0.03865,0.0003367,0.0003367,0.0003367
69,540.169,0.02211,0.98728,1,0.04094,0.0003268,0.0003268,0.0003268
70,547.758,0.02455,0.98858,1,0.03723,0.0003169,0.0003169,0.0003169
71,555.926,0.02526,0.98858,1,0.038,0.000307,0.000307,0.000307
72,563.691,0.02603,0.98663,1,0.03805,0.0002971,0.0002971,0.0002971
73,571.568,0.02055,0.9863,1,0.03859,0.0002872,0.0002872,0.0002872
74,579.376,0.0226,0.98695,1,0.03998,0.0002773,0.0002773,0.0002773
75,587.243,0.02348,0.98695,1,0.04019,0.0002674,0.0002674,0.0002674
76,594.956,0.01992,0.98663,1,0.04385,0.0002575,0.0002575,0.0002575
77,602.55,0.02269,0.98663,1,0.0447,0.0002476,0.0002476,0.0002476
78,610.516,0.02339,0.98728,1,0.04637,0.0002377,0.0002377,0.0002377
79,618.146,0.02272,0.98924,1,0.04136,0.0002278,0.0002278,0.0002278
80,626.315,0.01851,0.98956,1,0.03877,0.0002179,0.0002179,0.0002179
81,634.621,0.01793,0.98891,1,0.04131,0.000208,0.000208,0.000208
82,642.794,0.01928,0.98891,1,0.04069,0.0001981,0.0001981,0.0001981
83,650.49,0.02108,0.98891,1,0.04008,0.0001882,0.0001882,0.0001882
84,658.284,0.02294,0.98761,1,0.04049,0.0001783,0.0001783,0.0001783
85,666.031,0.02064,0.98793,1,0.04145,0.0001684,0.0001684,0.0001684
